Common Name,Family,Scientific Name,Collector,Country,Uses
"Bhindi, Bhindi tori",MALVACEAE,Abelmoschus esculentus (L.) Moench,D. Hoopal,India,"From the fruits a mucilaginous preparation is made which are considered benificial as plasma replacement or blood volume expander. The immature capsules  of the plant are used as demulcent,  diuretic and the seeds  of the plant are used as antispasmodic, cordial and stimulant."
Ran Bhendi,MALVACEAE,Abelmoschus ficulneus (L.) Wight & Arn.,K. Ramamurthy,India,The fruits of the plant have high content of vitamin C than Abelmoschus esculentus.
"Jangli Bhindi, Kantalo Bhendo (Guj.)",MALVACEAE,Abelmoschus manihot (L.) Medik.,B.M. Wadhwa,India,The bark of the plant is used as emmenagogue.
"Muskdana, Kasturi dana",MALVACEAE,Abelmoschus moschatus Medik.,A. Meebold,India,"The seed of the plant is musk scented and is known as- Ambrette seeds or Grams-d?Ambrett and is used as stimulant, tonic and carminative."
"Talish patra, Gobra salla (Nepal)",Pinaceae,Abies spectabilis (D. Don) Spach.,K. Biswas,India,"Leaves are carminative in nature and is, used for relieving cough and phthisis."
Ulatkambal,STERCULIACEAE,Abroma agusta (L.) L.f.,Rolla S. Rao,India,"For emmenagogue and  uterine tonic roots are used.  The leaves of the plant is used for diabetes, rheumatic pains, sinusitis and  uterine disorders. Cholesterol level in blood is reduced by using the fatty oil which is rich in linoleic acid obtained from the seeds of the plant."
"Ratti, Ghungchi",FABACEAE,Abrus precatorius L.,R.K. Premanath,India,"Glycyrrhizin the main constituent of liquorice is obtained from the roots and leaves and the decoction of it is given for coughs and colds. The roots of the plant is having diuretic, tonic, and emetic properties. The seeds of the plant is prescribed in infections of nervous system. The seed paste is applied locally in sciatica, stiffness of shoulder joints and paralysis. Protein which is extracted from the seeds shows anti-tumour activity on Yeshida s"
Barakanghi,MALVACEAE,Abutilon hirtum (Lam.) Sweet,V. Dall,India,"The plant is employed as febrifuge, antiemetic, and anti-inflammatory and also used in urinary troubles and lumbago. The bark of the plant is having astringent and diuretic properties. Leaves extract is diuretic and demulcent. The roots of the plant used as a nervine tonic and antipyretic; also used in piles. It is also used with chaulmugra oil for leucoderma. The seeds  of the plant known as-Balbij are rich in mucilage and is having laxative and demu"
"Kanghi, Kakahi",MALVACEAE,Abutilon indicum (L.) Sweet,Rev. J.C. Leefe,,"The plant is employed as febrifuge, antiemetic, and anti-inflammatory and also used in urinary troubles and lumbago. The bark of the plant is having astringent and diuretic properties. Leaves extract is diuretic and demulcent. The roots of the plant used as a nervine tonic and antipyretic; also used in piles. It is also used with chaulmugra oil for leucoderma. The seeds  of the plant known as-Balbij are rich in mucilage and is having laxative and demu"
Kakrai,MALVACEAE,Abutilon pannosum (Forst.) Schlect.,B.V. Shetty,India,The leaves of the plant containing the  mucilage is used in piles and pectoral.
Indian Mallow (Eng.),MALVACEAE,Abutilon theophrastii Medik.,Aitchison,England,"The decoction of seeds is used in dysentery and fistula, and also for sore eyes."
