#,Name of the Plant,Family,Common Name,link
1,Abelmoschus esculentus (L.) Moench,MALVACEAE,"Bhindi, Bhindi tori",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003881&column=szBarcode
2,Abelmoschus ficulneus (L.) Wight & Arn.,MALVACEAE,Ran Bhendi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003882&column=szBarcode
3,Abelmoschus manihot (L.) Medik.,MALVACEAE,"Jangli Bhindi, Kantalo Bhendo (Guj.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003879&column=szBarcode
4,Abelmoschus moschatus Medik.,MALVACEAE,"Muskdana, Kasturi dana",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003878&column=szBarcode
5,Abies spectabilis (D. Don) Spach.,PINACEAE,"Talish patra, Gobra salla (Nepal)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009739&column=szBarcode
6,Abroma agusta (L.) L.f.,STERCULIACEAE,Ulatkambal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003861&column=szBarcode
7,Abrus precatorius L.,FABACEAE,"Ratti, Ghungchi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003654&column=szBarcode
8,Abutilon hirtum (Lam.) Sweet,MALVACEAE,Barakanghi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003898&column=szBarcode
9,Abutilon indicum (L.) Sweet,MALVACEAE,"Kanghi, Kakahi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003895&column=szBarcode
10,Abutilon pannosum (Forst.) Schlect.,MALVACEAE,Kakrai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003896&column=szBarcode
11,Abutilon theophrastii Medik.,MALVACEAE,Indian Mallow (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003897&column=szBarcode
